sample_index,file_name,user_id,position_id,action_id,frames,duration_seconds,median_interval_seconds,p90_interval_seconds,max_interval_seconds,duplicate_timestamp_intervals,valid_frame_rate_hz,default_half_window,default_full_window_frames,default_window_median_span_seconds,default_window_p90_span_seconds,default_window_median_fraction_of_duration,default_window_frame_fraction,sample_not_longer_than_default_window
725,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position3_activity3/20250813=184601_mimo5s_part0.csv,0,3,3,15,4.181965,0.11250500000000052,1.036554,1.176277,1,3.3477085532757926,5,11,2.695703,2.9876757999999994,0.6446019992993725,0.7333333333333333,0
726,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position3_activity3/20250813=184619_mimo5s_part0.csv,0,3,3,15,1.6308369999999999,0.09615699999999999,0.29210860000000005,0.3432029999999999,1,8.584548915679495,5,11,0.8099239999999999,1.0243212,0.49663087114162846,0.7333333333333333,0
727,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position8_activity3/20250813=193743_mimo5s_part0.csv,0,8,3,21,5.397246,0.0685579999999999,0.7108317000000005,1.432334,0,3.7055935564174765,5,11,1.8545409999999998,4.676908,0.3436087589856011,0.5238095238095238,0
728,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position8_activity3/20250813=193647_mimo5s_part0.csv,0,8,3,42,4.692826,0.05345649999999996,0.18297709999999998,1.4684239999999997,1,8.736739866340665,5,11,0.7066925,2.1958116999999997,0.15058996434131586,0.2619047619047619,0
729,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position3_activity3/20250813=184629_mimo5s_part0.csv,0,3,3,17,4.921529,0.23039949999999987,0.6904705,1.1733189999999998,0,3.251022192493431,5,11,2.972759,3.570518,0.6040315926209111,0.6470588235294118,0
730,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position3_activity3/20250813=184706_mimo5s_part0.csv,0,3,3,26,4.592238,0.17832399999999993,0.3949472,0.656018,2,5.443968714165076,5,11,1.627793,2.0947240000000003,0.3544661666054765,0.4230769230769231,0
731,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position3_activity3/20250813=184543_mimo5s_part0.csv,0,3,3,18,5.086876,0.11108999999999991,0.9927955,1.4679190000000002,1,3.341933241541567,5,11,2.950297,4.487058,0.5799820951011977,0.6111111111111112,0
732,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position3_activity3/20250813=184610_mimo5s_part0.csv,0,3,3,17,5.408059,0.2331295,0.7598825,1.3597569999999999,0,2.958547604602687,5,11,3.031258,4.0045703999999995,0.5605075684270456,0.6470588235294118,0
733,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position3_activity3/20250813=184534_mimo5s_part0.csv,0,3,3,17,5.397015,0.20602849999999995,0.9089465000000001,1.413742,0,2.964601728918671,5,11,2.7472669999999995,4.107364199999999,0.5090345311250756,0.6470588235294118,0
734,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position3_activity3/20250813=184524_mimo5s_part0.csv,0,3,3,11,5.024235,0.5157695000000002,0.7976897999999998,0.9912509999999999,0,1.990352760171449,5,11,3.631827,4.820128,0.7228616893915193,1.0,1
735,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position3_activity3/20250813=184552_mimo5s_part0.csv,0,3,3,23,4.616976999999999,0.19149400000000028,0.4473012000000001,0.978711,0,4.765022654433843,5,11,1.7795369999999995,2.3480578,0.38543336906378345,0.4782608695652174,0
736,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position3_activity3/20250813=184657_mimo5s_part0.csv,0,3,3,11,4.034618,0.205538,0.9902620000000002,2.023794,1,2.4785493942673136,5,11,3.1459460000000004,3.776884,0.7797382552697679,1.0,1
737,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position3_activity3/20250813=184638_mimo5s_part0.csv,0,3,3,25,3.867013,0.12081899999999998,0.30843259999999995,0.9863010000000001,1,6.206340656211913,5,11,0.970936,2.6211938000000004,0.25108164880749045,0.44,0
738,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position3_activity3/20250813=184715_mimo5s_part0.csv,0,3,3,14,4.567524,0.20418499999999995,0.8369597999999997,1.311346,0,2.8461809943417924,5,11,3.5038975,4.0583787,0.76713280543244,0.7857142857142857,0
739,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position3_activity3/20250813=184733_mimo5s_part0.csv,0,3,3,18,3.973779,0.12464750000000024,0.611495,1.3811349999999998,1,4.278043645607871,5,11,1.6541215,2.3775843,0.4162590571846094,0.6111111111111112,0
740,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position9_activity3/20250813=194425_mimo5s_part0.csv,0,9,3,15,6.108403,0.300316,1.1733518000000003,1.482509,1,2.291924746942859,5,11,4.26191,5.2210934,0.69771264273166,0.7333333333333333,0
741,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position9_activity3/20250813=194610_mimo5s_part0.csv,0,9,3,15,4.960154999999999,0.25683999999999996,0.7167714000000002,1.9783769999999998,1,2.8224924422724698,5,11,3.401001,4.4439398,0.6856642584757937,0.7333333333333333,0
742,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user0_position9_activity3/20250813=194531_mimo5s_part0.csv,0,9,3,13,2.236636,0.14184249999999987,0.39383820000000014,0.7364149999999999,0,5.365200238214891,5,11,1.2479329999999997,1.828872,0.5579508690730185,0.8461538461538461,0
