sample_index,file_name,user_id,position_id,action_id,half_window,full_window_frames,frames,duration_seconds,median_span_seconds,p25_span_seconds,p75_span_seconds,p90_span_seconds,max_span_seconds,median_fraction_of_sample_duration,nominal_frame_fraction_of_sample
11,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122230_mimo5s_part0.csv,1,8,1,5,11,8,3.434678,3.418984,2.87265875,3.434678,3.434678,3.434678,0.9954307215989389,1.0
12,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122155_mimo5s_part0.csv,1,8,1,1,3,11,3.865258,0.581366,0.19617099999999987,1.1345775,1.326915,1.8589769999999999,0.15040807107830836,0.2727272727272727
12,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122155_mimo5s_part0.csv,1,8,1,2,5,11,3.865258,1.5624920000000002,1.1513829999999998,1.828173,1.869395,2.2223029999999997,0.4042400274444811,0.45454545454545453
12,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122155_mimo5s_part0.csv,1,8,1,3,7,11,3.865258,1.869395,1.726426,2.300519,2.850521,3.5492179999999998,0.4836404193458755,0.6363636363636364
12,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122155_mimo5s_part0.csv,1,8,1,5,11,11,3.865258,2.850521,2.114292,3.669087,3.8627219999999998,3.865258,0.7374723757120483,1.0
13,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122258_mimo5s_part0.csv,1,8,1,1,3,11,4.8580499999999995,0.7931410000000001,0.39941100000000007,1.2691835,1.5635310000000002,1.7849149999999998,0.1632632434824673,0.2727272727272727
13,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122258_mimo5s_part0.csv,1,8,1,2,5,11,4.8580499999999995,2.0370070000000005,1.1598414999999997,2.2367,2.4968179999999998,2.538367,0.4193054826525047,0.45454545454545453
13,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122258_mimo5s_part0.csv,1,8,1,3,7,11,4.8580499999999995,2.4968179999999998,2.1064309999999997,3.150901,3.629466,3.8219220000000003,0.5139547760932884,0.6363636363636364
13,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122258_mimo5s_part0.csv,1,8,1,5,11,11,4.8580499999999995,3.7395629999999995,2.751619,4.5332645,4.747953,4.8580499999999995,0.7697662642418254,1.0
14,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122143_mimo5s_part0.csv,1,8,1,1,3,17,4.857156,0.16711700000000018,0.052543000000000006,0.657961,1.6352208000000004,2.949283,0.034406348076940534,0.17647058823529413
