half_window,full_window_frames,sample_index,file_name,user_id,position_id,action_id,frames,values,replaced_values,mad_zero_values,zero_mad_replacements,frames_with_any_replacement,frames_with_at_least_1pct_channels_replaced,absolute_change_sum,raw_total_variation,filtered_total_variation,raw_dynamic_peak_sum,filtered_dynamic_peak_sum,waveform_correlation,normalized_mae,high_motion_values,high_motion_replacements,high_motion_replacement_rate,high_motion_replacement_enrichment,median_window_span_seconds,p90_window_span_seconds,median_window_fraction_of_sample,replacement_run_count,replacement_rate,mad_zero_rate,zero_mad_share_of_replacements,total_variation_retention,dynamic_peak_retention
5,11,96,/home/test/bupt_hjk/sdp_dataset/elderAL/action6_sit_TV_new/user1_position7_activity6/20250813=175338_mimo5s_part0.csv,1,7,6,18,27648,4217,125,37,16,7,3378352.4590850705,8254493.079722125,3247116.7594720395,1382019.653822905,871099.3579686161,0.7405316660583658,0.25912978582458646,3072,874,0.2845052083333333,1.8653070903485889,2.434908,3.2270031,0.45930013219289306,3395,0.1525245949074074,0.004521122685185185,0.008774009959686982,0.39337567166285015,0.630308950787353
5,11,97,/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user1_position8_activity0/20250813=212306_mimo5s_part0.csv,1,8,0,15,23040,4676,45,0,13,8,2704821.1930183843,4827706.643126344,322480.4029228813,1201422.989090744,59812.56233052385,0.7356438592894394,0.2696527568108638,3072,1609,0.5237630208333334,2.580731394354149,3.1552619999999996,4.0887998,0.6318695336809562,4403,0.2029513888888889,0.001953125,0.0,0.06679784559445565,0.049784765959731594
5,11,98,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position8_activity1/20250813=122213_mimo5s_part0.csv,1,8,1,7,10752,1680,21,0,7,5,1056805.7168566878,1557839.6007127927,492562.0381447713,1044074.5631975475,147822.28710245003,0.81453858090564,0.18682524102444412,3072,1284,0.41796875,2.675,3.736618,3.736618,1.0,1660,0.15625,0.001953125,0.0,0.31618276870057643,0.1415821171332194
5,11,99,/home/test/bupt_hjk/sdp_dataset/elderAL/action2_fall_new/user1_position8_activity2/20250814=003638_mimo5s_part0.csv,1,8,2,4,6144,676,52,10,3,2,450348.8907382166,2158225.528193304,1714496.7798273617,1046234.6364317382,654244.2254348804,0.9007316678635087,0.13263450171197694,3072,269,0.08756510416666667,0.7958579881656804,1.449684,1.449684,1.0,676,0.11002604166666667,0.008463541666666666,0.014792899408284023,0.7944011213983754,0.6253322177004477
5,11,100,/home/test/bupt_hjk/sdp_dataset/elderAL/action3_sleep_new/user1_position8_activity3/20250813=194048_mimo5s_part0.csv,1,8,3,22,33792,6955,475,108,18,16,4270891.037710595,8042703.586407056,1907193.2502840962,1336526.641679104,633924.7037210162,0.7438478295736264,0.2664137337348659,6144,2995,0.4874674479166667,2.36843997124371,1.979406,2.322234,0.4482905830953246,5468,0.20581794507575757,0.01405658143939394,0.015528396836808052,0.2371333507189593,0.4743075700493366
5,11,101,/home/test/bupt_hjk/sdp_dataset/elderAL/action5_drink_new/user1_position8_activity5/20250813=163618_mimo5s_part0.csv,1,8,5,7,10752,1550,21,0,7,7,1223255.4064646116,2092866.4505259194,918645.2641672092,1218506.3371458214,288952.71025442664,0.7976387796141168,0.20482670480388332,3072,1206,0.392578125,2.723225806451613,3.510725,3.510725,1.0,1464,0.1441592261904762,0.001953125,0.0,0.43894117751104544,0.23713681369212855
5,11,102,/home/test/bupt_hjk/sdp_dataset/elderAL/action6_sit_TV_new/user1_position8_activity6/20250813=180307_mimo5s_part0.csv,1,8,6,8,12288,2345,56,8,7,5,1887677.3029380844,3795218.4863962885,1190597.1771907748,1326568.9835453904,546792.1397444279,0.6984316944558737,0.3004847385690182,3072,598,0.19466145833333334,1.020042643923241,3.5680199999999997,3.591459,0.9934736829795355,2082,0.19083658854166666,0.004557291666666667,0.003411513859275053,0.31370978547306094,0.41218522860610707
5,11,103,/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user1_position9_activity0/20250813=212424_mimo5s_part0.csv,1,9,0,11,16896,4286,216,93,11,6,2995952.4402758353,4041040.68539468,189258.3458153105,1391871.3921023258,56196.50399929512,0.6426621866807851,0.3568258475099874,3072,1564,0.5091145833333334,2.0069995333644424,3.224166,3.8791469999999997,0.8108451493761919,4065,0.25366950757575757,0.01278409090909091,0.02169855342977135,0.04683406096338919,0.040374781979256126
5,11,104,/home/test/bupt_hjk/sdp_dataset/elderAL/action1_walk_new/user1_position9_activity1/20250813=122920_mimo5s_part0.csv,1,9,1,6,9216,1290,18,0,6,4,1215225.2215620116,2491542.2084877207,1297629.8587628512,1060681.4055183018,389527.21335339133,0.7466703440001292,0.23817036455223842,3072,904,0.2942708333333333,2.1023255813953488,3.6163,3.6163,1.0,1271,0.13997395833333334,0.001953125,0.0,0.5208139177182421,0.36724242673326485
5,11,105,/home/test/bupt_hjk/sdp_dataset/elderAL/action2_fall_new/user1_position9_activity2/20250814=005641_mimo5s_part0.csv,1,9,2,4,6144,672,52,10,2,2,361244.60193137836,1957062.2989832032,1596663.6335424373,954166.5620091271,636387.9319783578,0.923373096824931,0.1155999772320501,3072,221,0.07194010416666667,0.6577380952380952,1.574744,1.574744,1.0,672,0.109375,0.008463541666666666,0.01488095238095238,0.8158471165542293,0.6669568577611406
