dataset,combo_index,combo_id,combo_name,model,status,best_val_acc,test_acc,denoise,outliers,calibrate,normalize,interpolate,pipeline_steps,output_dir,duration_sec,error,test_acc_pct,interpolate_method
Widar,31,widar_031,wavelet+iqr+robust+min-max+nearest15,mlpmodel,ok,0.5642512077294686,0.5565656565656566,wavelet,iqr,robust,min-max,nearest15,"{""calibrate"": {""method"": ""robust""}, ""denoise"": {""method"": ""wavelet""}, ""interpolate"": {""method"": ""nearest"", ""target_K"": 15}, ""normalize"": {""method"": ""min-max""}, ""outliers"": {""factor"": 1.5, ""method"": ""iqr""}}",/home/test/bupt_hjk/SDP/test_wider/result/full_tests_new/widar_031+wavelet+iqr+robust+min-max+nearest15+mlpmodel,1492.71,,55.65656565656566,nearest
Widar,32,widar_032,wavelet+iqr+robust+min-max+decimate15,mlpmodel,ok,0.5516908212560386,0.5191919191919192,wavelet,iqr,robust,min-max,decimate15,"{""calibrate"": {""method"": ""robust""}, ""denoise"": {""method"": ""wavelet""}, ""interpolate"": {""method"": ""decimate"", ""target_K"": 15}, ""normalize"": {""method"": ""min-max""}, ""outliers"": {""factor"": 1.5, ""method"": ""iqr""}}",/home/test/bupt_hjk/SDP/test_wider/result/full_tests_new/widar_032+wavelet+iqr+robust+min-max+decimate15+mlpmodel,1197.09,,51.91919191919192,decimate
Widar,33,widar_033,wavelet+outlier_z-score+linear+z-score+linear15,mlpmodel,ok,0.7362318840579709,0.692929292929293,wavelet,outlier_z-score,linear,z-score,linear15,"{""calibrate"": {""method"": ""linear""}, ""denoise"": {""method"": ""wavelet""}, ""interpolate"": {""method"": ""linear"", ""target_K"": 15}, ""normalize"": {""method"": ""z-score""}, ""outliers"": {""factor"": 3.0, ""method"": ""z-score""}}",/home/test/bupt_hjk/SDP/test_wider/result/full_tests_new/widar_033+wavelet+outlier_z-score+linear+z-score+linear15+mlpmodel,1555.62,,69.2929292929293,linear
Widar,34,widar_034,wavelet+outlier_z-score+linear+z-score+cubic15,mlpmodel,ok,0.7371980676328502,0.702020202020202,wavelet,outlier_z-score,linear,z-score,cubic15,"{""calibrate"": {""method"": ""linear""}, ""denoise"": {""method"": ""wavelet""}, ""interpolate"": {""method"": ""cubic"", ""target_K"": 15}, ""normalize"": {""method"": ""z-score""}, ""outliers"": {""factor"": 3.0, ""method"": ""z-score""}}",/home/test/bupt_hjk/SDP/test_wider/result/full_tests_new/widar_034+wavelet+outlier_z-score+linear+z-score+cubic15+mlpmodel,2145.12,,70.2020202020202,cubic
Widar,35,widar_035,wavelet+outlier_z-score+linear+z-score+nearest15,mlpmodel,ok,0.7371980676328502,0.7151515151515152,wavelet,outlier_z-score,linear,z-score,nearest15,"{""calibrate"": {""method"": ""linear""}, ""denoise"": {""method"": ""wavelet""}, ""interpolate"": {""method"": ""nearest"", ""target_K"": 15}, ""normalize"": {""method"": ""z-score""}, ""outliers"": {""factor"": 3.0, ""method"": ""z-score""}}",/home/test/bupt_hjk/SDP/test_wider/result/full_tests_new/widar_035+wavelet+outlier_z-score+linear+z-score+nearest15+mlpmodel,1513.36,,71.51515151515152,nearest
Widar,36,widar_036,wavelet+outlier_z-score+linear+z-score+decimate15,mlpmodel,ok,0.7275362318840579,0.6868686868686869,wavelet,outlier_z-score,linear,z-score,decimate15,"{""calibrate"": {""method"": ""linear""}, ""denoise"": {""method"": ""wavelet""}, ""interpolate"": {""method"": ""decimate"", ""target_K"": 15}, ""normalize"": {""method"": ""z-score""}, ""outliers"": {""factor"": 3.0, ""method"": ""z-score""}}",/home/test/bupt_hjk/SDP/test_wider/result/full_tests_new/widar_036+wavelet+outlier_z-score+linear+z-score+decimate15+mlpmodel,1213.36,,68.68686868686868,decimate
Widar,37,widar_037,wavelet+outlier_z-score+linear+min-max+linear15,mlpmodel,ok,0.697584541062802,0.6868686868686869,wavelet,outlier_z-score,linear,min-max,linear15,"{""calibrate"": {""method"": ""linear""}, ""denoise"": {""method"": ""wavelet""}, ""interpolate"": {""method"": ""linear"", ""target_K"": 15}, ""normalize"": {""method"": ""min-max""}, ""outliers"": {""factor"": 3.0, ""method"": ""z-score""}}",/home/test/bupt_hjk/SDP/test_wider/result/full_tests_new/widar_037+wavelet+outlier_z-score+linear+min-max+linear15+mlpmodel,1577.59,,68.68686868686868,linear
Widar,38,widar_038,wavelet+outlier_z-score+linear+min-max+cubic15,mlpmodel,ok,0.6830917874396135,0.6595959595959596,wavelet,outlier_z-score,linear,min-max,cubic15,"{""calibrate"": {""method"": ""linear""}, ""denoise"": {""method"": ""wavelet""}, ""interpolate"": {""method"": ""cubic"", ""target_K"": 15}, ""normalize"": {""method"": ""min-max""}, ""outliers"": {""factor"": 3.0, ""method"": ""z-score""}}",/home/test/bupt_hjk/SDP/test_wider/result/full_tests_new/widar_038+wavelet+outlier_z-score+linear+min-max+cubic15+mlpmodel,2164.89,,65.95959595959596,cubic
Widar,39,widar_039,wavelet+outlier_z-score+linear+min-max+nearest15,mlpmodel,ok,0.6782608695652174,0.6646464646464646,wavelet,outlier_z-score,linear,min-max,nearest15,"{""calibrate"": {""method"": ""linear""}, ""denoise"": {""method"": ""wavelet""}, ""interpolate"": {""method"": ""nearest"", ""target_K"": 15}, ""normalize"": {""method"": ""min-max""}, ""outliers"": {""factor"": 3.0, ""method"": ""z-score""}}",/home/test/bupt_hjk/SDP/test_wider/result/full_tests_new/widar_039+wavelet+outlier_z-score+linear+min-max+nearest15+mlpmodel,1507.39,,66.46464646464646,nearest
Widar,40,widar_040,wavelet+outlier_z-score+linear+min-max+decimate15,mlpmodel,ok,0.6753623188405797,0.6585858585858586,wavelet,outlier_z-score,linear,min-max,decimate15,"{""calibrate"": {""method"": ""linear""}, ""denoise"": {""method"": ""wavelet""}, ""interpolate"": {""method"": ""decimate"", ""target_K"": 15}, ""normalize"": {""method"": ""min-max""}, ""outliers"": {""factor"": 3.0, ""method"": ""z-score""}}",/home/test/bupt_hjk/SDP/test_wider/result/full_tests_new/widar_040+wavelet+outlier_z-score+linear+min-max+decimate15+mlpmodel,1208.11,,65.85858585858585,decimate
Widar,41,widar_041,wavelet+outlier_z-score+polynomial_d3+z-score+linear15,mlpmodel,ok,0.7140096618357488,0.702020202020202,wavelet,outlier_z-score,polynomial_d3,z-score,linear15,"{""calibrate"": {""degree"": 3, ""method"": ""polynomial""}, ""denoise"": {""method"": ""wavelet""}, ""interpolate"": {""method"": ""linear"", ""target_K"": 15}, ""normalize"": {""method"": ""z-score""}, ""outliers"": {""factor"": 3.0, ""method"": ""z-score""}}",/home/test/bupt_hjk/SDP/test_wider/result/full_tests_new/widar_041+wavelet+outlier_z-score+polynomial_d3+z-score+linear15+mlpmodel,1567.96,,70.2020202020202,linear
Widar,42,widar_042,wavelet+outlier_z-score+polynomial_d3+z-score+cubic15,mlpmodel,ok,0.7314009661835749,0.703030303030303,wavelet,outlier_z-score,polynomial_d3,z-score,cubic15,"{""calibrate"": {""degree"": 3, ""method"": ""polynomial""}, ""denoise"": {""method"": ""wavelet""}, ""interpolate"": {""method"": ""cubic"", ""target_K"": 15}, ""normalize"": {""method"": ""z-score""}, ""outliers"": {""factor"": 3.0, ""method"": ""z-score""}}",/home/test/bupt_hjk/SDP/test_wider/result/full_tests_new/widar_042+wavelet+outlier_z-score+polynomial_d3+z-score+cubic15+mlpmodel,2129.34,,70.3030303030303,cubic
Widar,43,widar_043,wavelet+outlier_z-score+polynomial_d3+z-score+nearest15,mlpmodel,ok,0.7130434782608696,0.702020202020202,wavelet,outlier_z-score,polynomial_d3,z-score,nearest15,"{""calibrate"": {""degree"": 3, ""method"": ""polynomial""}, ""denoise"": {""method"": ""wavelet""}, ""interpolate"": {""method"": ""nearest"", ""target_K"": 15}, ""normalize"": {""method"": ""z-score""}, ""outliers"": {""factor"": 3.0, ""method"": ""z-score""}}",/home/test/bupt_hjk/SDP/test_wider/result/full_tests_new/widar_043+wavelet+outlier_z-score+polynomial_d3+z-score+nearest15+mlpmodel,1485.55,,70.2020202020202,nearest
