dataset,preset,model,status,best_val_acc,test_acc,output_dir,error,test_acc_pct
Widar,gesture_recognition,resnet2d,ok,62.99516908212561,0.5838383838383838,/home/test/bupt_hjk/test_wider/result/condition_v2+gesture_recognition+resnet2d,,58.38383838383838
Widar,gesture_recognition,bilstmattention,ok,61.44927536231884,0.602020202020202,/home/test/bupt_hjk/test_wider/result/condition_v2+gesture_recognition+bilstmattention,,60.2020202020202
Widar,gesture_recognition,efficientnetcsi,failed,,,/home/test/bupt_hjk/test_wider/result/condition_v2+gesture_recognition+efficientnetcsi,"OutOfMemoryError('CUDA out of memory. Tried to allocate 986.00 MiB. GPU 0 has a total capacity of 79.25 GiB of which 753.25 MiB is free. Including non-PyTorch memory, this process has 78.50 GiB memory in use. Of the allocated memory 77.87 GiB is allocated by PyTorch, and 121.90 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)')",
Widar,gesture_recognition,that,ok,59.033816425120776,0.5838383838383838,/home/test/bupt_hjk/test_wider/result/condition_v2+gesture_recognition+that,,58.38383838383838
Widar,gesture_recognition,csitime,ok,64.54106280193237,0.6292929292929293,/home/test/bupt_hjk/test_wider/result/condition_v2+gesture_recognition+csitime,,62.929292929292934
Widar,gesture_recognition,pa_csi,ok,59.90338164251208,0.5888888888888889,/home/test/bupt_hjk/test_wider/result/condition_v2+gesture_recognition+pa_csi,,58.88888888888889
Widar,gesture_recognition,wiflexformer,ok,63.28502415458937,0.6262626262626263,/home/test/bupt_hjk/test_wider/result/condition_v2+gesture_recognition+wiflexformer,,62.62626262626263
Widar,gesture_recognition,attentiongru,ok,63.28502415458937,0.6060606060606061,/home/test/bupt_hjk/test_wider/result/condition_v2+gesture_recognition+attentiongru,,60.60606060606061
Widar,gesture_recognition,ei,ok,65.5072463768116,0.6222222222222222,/home/test/bupt_hjk/test_wider/result/condition_v2+gesture_recognition+ei,,62.22222222222222
Widar,gesture_recognition,fewsense,ok,62.51207729468599,0.5858585858585859,/home/test/bupt_hjk/test_wider/result/condition_v2+gesture_recognition+fewsense,,58.58585858585859
Widar,activity_detection,visiontransformercsi,skipped,,,/home/test/bupt_hjk/test_wider/result/condition_v2+activity_detection+visiontransformercsi,skipped_by_config,
Widar,activity_detection,mambacsi,skipped,,,/home/test/bupt_hjk/test_wider/result/condition_v2+activity_detection+mambacsi,skipped_by_config,
Widar,activity_detection,graphneuralcsi,skipped,,,/home/test/bupt_hjk/test_wider/result/condition_v2+activity_detection+graphneuralcsi,skipped_by_config,
Widar,activity_detection,csimodel,ok,62.1256038647343,0.5757575757575758,/home/test/bupt_hjk/test_wider/result/condition_v2+activity_detection+csimodel,,57.57575757575758
Widar,activity_detection,mlpmodel,ok,67.53623188405797,0.6494949494949495,/home/test/bupt_hjk/test_wider/result/condition_v2+activity_detection+mlpmodel,,64.94949494949495
Widar,activity_detection,cnn1dmodel,ok,61.73913043478261,0.6212121212121212,/home/test/bupt_hjk/test_wider/result/condition_v2+activity_detection+cnn1dmodel,,62.121212121212125
Widar,activity_detection,cnn2dmodel,failed,,,/home/test/bupt_hjk/test_wider/result/condition_v2+activity_detection+cnn2dmodel,"OutOfMemoryError('CUDA out of memory. Tried to allocate 23.44 GiB. GPU 0 has a total capacity of 79.25 GiB of which 22.12 GiB is free. Including non-PyTorch memory, this process has 57.11 GiB memory in use. Of the allocated memory 56.58 GiB is allocated by PyTorch, and 28.43 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)')",
Widar,activity_detection,lstmmodel,ok,57.48792270531401,0.5707070707070707,/home/test/bupt_hjk/test_wider/result/condition_v2+activity_detection+lstmmodel,,57.07070707070707
Widar,activity_detection,resnet1d,ok,60.96618357487922,0.5767676767676768,/home/test/bupt_hjk/test_wider/result/condition_v2+activity_detection+resnet1d,,57.67676767676768
Widar,activity_detection,resnet2d,ok,61.35265700483092,0.6050505050505051,/home/test/bupt_hjk/test_wider/result/condition_v2+activity_detection+resnet2d,,60.505050505050505
Widar,activity_detection,bilstmattention,ok,57.00483091787439,0.5767676767676768,/home/test/bupt_hjk/test_wider/result/condition_v2+activity_detection+bilstmattention,,57.67676767676768
Widar,activity_detection,efficientnetcsi,failed,,,/home/test/bupt_hjk/test_wider/result/condition_v2+activity_detection+efficientnetcsi,"OutOfMemoryError('CUDA out of memory. Tried to allocate 986.00 MiB. GPU 0 has a total capacity of 79.25 GiB of which 773.25 MiB is free. Including non-PyTorch memory, this process has 78.48 GiB memory in use. Of the allocated memory 77.87 GiB is allocated by PyTorch, and 101.90 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)')",
Widar,activity_detection,that,ok,59.32367149758454,0.5555555555555556,/home/test/bupt_hjk/test_wider/result/condition_v2+activity_detection+that,,55.55555555555556
Widar,activity_detection,csitime,ok,62.60869565217392,0.6121212121212121,/home/test/bupt_hjk/test_wider/result/condition_v2+activity_detection+csitime,,61.212121212121204
Widar,activity_detection,pa_csi,ok,59.90338164251208,0.5797979797979798,/home/test/bupt_hjk/test_wider/result/condition_v2+activity_detection+pa_csi,,57.97979797979798
Widar,activity_detection,wiflexformer,ok,63.38164251207729,0.6161616161616161,/home/test/bupt_hjk/test_wider/result/condition_v2+activity_detection+wiflexformer,,61.61616161616161
Widar,activity_detection,attentiongru,ok,63.38164251207729,0.6090909090909091,/home/test/bupt_hjk/test_wider/result/condition_v2+activity_detection+attentiongru,,60.909090909090914
Widar,activity_detection,ei,ok,63.28502415458937,0.603030303030303,/home/test/bupt_hjk/test_wider/result/condition_v2+activity_detection+ei,,60.303030303030305
Widar,activity_detection,fewsense,ok,60.772946859903385,0.6070707070707071,/home/test/bupt_hjk/test_wider/result/condition_v2+activity_detection+fewsense,,60.70707070707071
Widar,localization,visiontransformercsi,skipped,,,/home/test/bupt_hjk/test_wider/result/condition_v2+localization+visiontransformercsi,skipped_by_config,
Widar,localization,mambacsi,skipped,,,/home/test/bupt_hjk/test_wider/result/condition_v2+localization+mambacsi,skipped_by_config,
Widar,localization,graphneuralcsi,skipped,,,/home/test/bupt_hjk/test_wider/result/condition_v2+localization+graphneuralcsi,skipped_by_config,
Widar,localization,csimodel,ok,59.42028985507246,0.5757575757575758,/home/test/bupt_hjk/test_wider/result/condition_v2+localization+csimodel,,57.57575757575758
Widar,localization,mlpmodel,ok,66.08695652173913,0.6282828282828283,/home/test/bupt_hjk/test_wider/result/condition_v2+localization+mlpmodel,,62.82828282828283
Widar,localization,cnn1dmodel,ok,58.64734299516908,0.5545454545454546,/home/test/bupt_hjk/test_wider/result/condition_v2+localization+cnn1dmodel,,55.45454545454545
Widar,localization,cnn2dmodel,failed,,,/home/test/bupt_hjk/test_wider/result/condition_v2+localization+cnn2dmodel,"OutOfMemoryError('CUDA out of memory. Tried to allocate 23.44 GiB. GPU 0 has a total capacity of 79.25 GiB of which 18.00 GiB is free. Including non-PyTorch memory, this process has 61.23 GiB memory in use. Of the allocated memory 60.70 GiB is allocated by PyTorch, and 27.48 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)')",
Widar,localization,lstmmodel,ok,57.10144927536232,0.5767676767676768,/home/test/bupt_hjk/test_wider/result/condition_v2+localization+lstmmodel,,57.67676767676768
Widar,localization,resnet1d,ok,57.77777777777778,0.5292929292929293,/home/test/bupt_hjk/test_wider/result/condition_v2+localization+resnet1d,,52.92929292929293
Widar,localization,resnet2d,ok,57.19806763285024,0.5454545454545454,/home/test/bupt_hjk/test_wider/result/condition_v2+localization+resnet2d,,54.54545454545454
Widar,localization,bilstmattention,ok,59.130434782608695,0.5666666666666667,/home/test/bupt_hjk/test_wider/result/condition_v2+localization+bilstmattention,,56.666666666666664
Widar,localization,efficientnetcsi,failed,,,/home/test/bupt_hjk/test_wider/result/condition_v2+localization+efficientnetcsi,"OutOfMemoryError('CUDA out of memory. Tried to allocate 2.75 GiB. GPU 0 has a total capacity of 79.25 GiB of which 651.25 MiB is free. Including non-PyTorch memory, this process has 78.60 GiB memory in use. Of the allocated memory 78.02 GiB is allocated by PyTorch, and 75.84 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)')",
Widar,localization,that,ok,60.57971014492754,0.6262626262626263,/home/test/bupt_hjk/test_wider/result/condition_v2+localization+that,,62.62626262626263
Widar,localization,csitime,ok,59.61352657004831,0.5383838383838384,/home/test/bupt_hjk/test_wider/result/condition_v2+localization+csitime,,53.83838383838384
Widar,localization,pa_csi,ok,58.16425120772947,0.5727272727272728,/home/test/bupt_hjk/test_wider/result/condition_v2+localization+pa_csi,,57.27272727272727
Widar,localization,wiflexformer,ok,60.96618357487922,0.5626262626262626,/home/test/bupt_hjk/test_wider/result/condition_v2+localization+wiflexformer,,56.262626262626256
Widar,localization,attentiongru,ok,58.743961352657,0.5646464646464646,/home/test/bupt_hjk/test_wider/result/condition_v2+localization+attentiongru,,56.464646464646464
Widar,localization,ei,ok,59.227053140096615,0.5464646464646464,/home/test/bupt_hjk/test_wider/result/condition_v2+localization+ei,,54.64646464646464
Widar,localization,fewsense,ok,65.1207729468599,0.6424242424242425,/home/test/bupt_hjk/test_wider/result/condition_v2+localization+fewsense,,64.24242424242425
Gait,high_quality,csimodel,ok,80.77913715389569,0.8852931752643384,/home/test/bupt_hjk/test_gait/result/user_id_v2+high_quality+csimodel,,88.52931752643384
Gait,high_quality,mlpmodel,ok,84.3850611719253,0.9173341877603332,/home/test/bupt_hjk/test_gait/result/user_id_v2+high_quality+mlpmodel,,91.73341877603332
Gait,high_quality,cnn1dmodel,ok,81.809401159047,0.9022749118872156,/home/test/bupt_hjk/test_gait/result/user_id_v2+high_quality+cnn1dmodel,,90.22749118872156
Gait,high_quality,cnn2dmodel,failed,,,/home/test/bupt_hjk/test_gait/result/user_id_v2+high_quality+cnn2dmodel,"OutOfMemoryError('CUDA out of memory. Tried to allocate 23.44 GiB. GPU 1 has a total capacity of 79.25 GiB of which 22.13 GiB is free. Including non-PyTorch memory, this process has 57.11 GiB memory in use. Of the allocated memory 56.57 GiB is allocated by PyTorch, and 33.49 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)')",
Gait,high_quality,lstmmodel,ok,44.81648422408242,0.6055751361743031,/home/test/bupt_hjk/test_gait/result/user_id_v2+high_quality+lstmmodel,,60.55751361743032
Gait,high_quality,resnet1d,ok,69.5428203477141,0.8202499198974688,/home/test/bupt_hjk/test_gait/result/user_id_v2+high_quality+resnet1d,,82.02499198974688
Gait,high_quality,resnet2d,ok,86.79974243399872,0.9157321371355336,/home/test/bupt_hjk/test_gait/result/user_id_v2+high_quality+resnet2d,,91.57321371355336
Gait,high_quality,bilstmattention,ok,65.51835157759176,0.7789170137776353,/home/test/bupt_hjk/test_gait/result/user_id_v2+high_quality+bilstmattention,,77.89170137776354
Gait,high_quality,efficientnetcsi,failed,,,/home/test/bupt_hjk/test_gait/result/user_id_v2+high_quality+efficientnetcsi,"OutOfMemoryError('CUDA out of memory. Tried to allocate 986.00 MiB. GPU 1 has a total capacity of 79.25 GiB of which 731.25 MiB is free. Including non-PyTorch memory, this process has 78.52 GiB memory in use. Of the allocated memory 77.87 GiB is allocated by PyTorch, and 141.90 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)')",
Gait,high_quality,visiontransformercsi,skipped,,,/home/test/bupt_hjk/test_gait/result/user_id_v2+high_quality+visiontransformercsi,skipped_by_config,
Gait,high_quality,mambacsi,skipped,,,/home/test/bupt_hjk/test_gait/result/user_id_v2+high_quality+mambacsi,skipped_by_config,
Gait,high_quality,graphneuralcsi,skipped,,,/home/test/bupt_hjk/test_gait/result/user_id_v2+high_quality+graphneuralcsi,skipped_by_config,
Gait,high_quality,that,ok,49.06632324533162,0.669336751041333,/home/test/bupt_hjk/test_gait/result/user_id_v2+high_quality+that,,66.9336751041333
Gait,high_quality,csitime,ok,70.92723760463619,0.8442806792694649,/home/test/bupt_hjk/test_gait/result/user_id_v2+high_quality+csitime,,84.4280679269465
Gait,high_quality,pa_csi,ok,51.57759175788796,0.6395386094200577,/home/test/bupt_hjk/test_gait/result/user_id_v2+high_quality+pa_csi,,63.95386094200577
