dataset,combo_id,model,status,test_acc,test_acc_pct,denoise,outliers,calibrate,normalize,interpolate,interpolation_method,source_file
Widar,widar_077,mlpmodel,ok,0.7212121212121212,72.12121212121212,butterworth_o5_c0.3,iqr,polynomial_d3,min-max,linear15,linear,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_078,mlpmodel,ok,0.7242424242424242,72.42424242424242,butterworth_o5_c0.3,iqr,polynomial_d3,min-max,cubic15,cubic,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_079,mlpmodel,ok,0.7121212121212122,71.21212121212122,butterworth_o5_c0.3,iqr,polynomial_d3,min-max,nearest15,nearest,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_080,mlpmodel,ok,0.7212121212121212,72.12121212121212,butterworth_o5_c0.3,iqr,polynomial_d3,min-max,decimate15,decimate,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_081,mlpmodel,ok,0.7202020202020202,72.02020202020202,butterworth_o5_c0.3,iqr,stc,z-score,linear15,linear,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_082,mlpmodel,ok,0.7343434343434343,73.43434343434343,butterworth_o5_c0.3,iqr,stc,z-score,cubic15,cubic,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_083,mlpmodel,ok,0.7333333333333333,73.33333333333333,butterworth_o5_c0.3,iqr,stc,z-score,nearest15,nearest,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_084,mlpmodel,ok,0.7444444444444445,74.44444444444444,butterworth_o5_c0.3,iqr,stc,z-score,decimate15,decimate,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_085,mlpmodel,ok,0.696969696969697,69.6969696969697,butterworth_o5_c0.3,iqr,stc,min-max,linear15,linear,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
Widar,widar_086,mlpmodel,ok,0.702020202020202,70.2020202020202,butterworth_o5_c0.3,iqr,stc,min-max,cubic15,cubic,SDP/test_wider/result/full_tests_new/widar_320_pipeline_optimized_mlpmodel_summary.csv
