variant,amplitude_max_abs_error,adjacent_phase_jump_early_mean_rad,adjacent_phase_jump_late_mean_rad,late_relative_rotation_mean_rad,late_relative_rotation_gt_pi_over_2,late_relative_rotation_gt_3pi_over_4,phase_channel_std,zscore_amplitude_channel_std,zscore_phase_to_amplitude_std_ratio,minmax_amplitude_channel_std,minmax_phase_to_amplitude_std_ratio,minmax_exact_zero_fraction,linear_cancellation_ratio_mean,linear_cancellation_ratio_p10,linear_cancellation_ratio_lt_0_5,linear_late_minus_early_ratio,cubic_cancellation_ratio_mean,cubic_cancellation_ratio_p10,cubic_cancellation_ratio_lt_0_5,cubic_late_minus_early_ratio,sample_index,length
detrend_fullspan50_only,1.1444091796875e-05,1.5510655641555786,1.5845857858657837,1.5892395973205566,0.5104008971124194,0.2559760770021493,1.8130121231079102,0.9999999999999999,1.8130121231079104,0.16261862174595532,11.148859236675973,0.0004420986150584202,0.7999175132196271,0.451717004713874,0.1258537465602021,-0.0020821500144402316,0.9047311790937989,0.5489651086673295,0.08174313168223034,0.001489482594061009,4,2463
robust_shared_first50,1.1444091796875e-05,0.8705687522888184,0.872664213180542,3.205817478146855e-08,0.0,0.0,1.8117022514343262,1.0,1.8117022514343262,0.16261863105694926,11.140803729923576,0.00041503135291198626,0.9440422614925533,0.9082596937689853,0.0,5.888234130979608e-05,0.9953645226761699,0.9713119757160951,0.0,0.00017243046016413022,4,2463
robust_window_limited,7.62939453125e-06,1.6798360347747803,1.702892780303955,1.5297346115112305,0.5287356321839081,0.27586206896551724,1.8327748775482178,0.9999999999999999,1.832774877548218,0.16261862838277064,11.270387013929577,0.00042405377362746426,0.7818395277324556,0.4340837421858162,0.16755537510714125,-0.005165265377880646,0.8930947457506984,0.5334646421836872,0.07714169711733658,-0.004016682921686332,4,2463
robust_fullspan50,7.62939453125e-06,1.5391976833343506,1.605040431022644,1.5699806213378906,0.500738248761798,0.2469115035977946,1.8185983896255493,0.9999999999999999,1.8185983896255495,0.1626186307210525,11.183210567951946,0.0004330761943429422,0.8001529384260363,0.45163554737379186,0.1257725447737628,-0.002990716694652673,0.9074193822401816,0.5504873689180374,0.08028149952632291,0.003860247715006926,4,2463
robust_first50,7.62939453125e-06,1.533596396446228,1.5527857542037964,1.539067268371582,0.4915428464629474,0.24014578076815252,1.8147281408309937,1.0,1.8147281408309937,0.16261862980335715,11.159411089771277,0.00042405377362746426,0.8012660325810151,0.45861277709045734,0.12111697568457618,0.004807232025676678,0.9016423349961946,0.5505815297217047,0.08045292551991699,0.010974610325127587,4,2463
no_calibration,3.814697265625e-06,0.8471370935440063,0.8386490941047668,0.0006081074825488031,0.0,0.0,1.812303900718689,0.9999999999999999,1.8123039007186892,0.11730965991366907,15.44888888137947,0.0004130524576621231,0.9482914680322927,0.9132547638668411,0.0,0.000993032806491878,0.9949040849652663,0.9727871187453077,0.0,0.0001486557482458517,5,2690
linear_reference,7.62939453125e-06,0.12298586219549179,0.12112609297037125,0.801906168460846,0.0,0.0,0.3437017798423767,1.0000000000000002,0.34370177984237665,0.11730966126590732,2.9298676352265947,0.00039653035935563816,0.99932963309309,0.9981597566609985,0.0,3.2368022316986433e-05,1.0012482090176817,0.9993528699253599,0.0,-2.9906457259976094e-05,5,2690
common_only,0.0,0.8471376299858093,0.8386609554290771,0.0,0.0,0.0,1.8096638917922974,1.0000000000000002,1.809663891792297,0.11730966185821075,15.42638400901362,0.0003717472118959108,0.94829582675908,0.9132697247415933,0.0,0.0010021101997257365,0.994914785979726,0.9728291347165108,0.0,0.0001716847229891183,5,2690
detrend_first50_only,7.62939453125e-06,1.42377507686615,1.5365028381347656,1.5840274095535278,0.4981185002736727,0.25408798576902025,1.81425940990448,0.9999999999999997,1.8142594099044806,0.11730966125950024,15.465558338721683,0.00038826931020239573,0.8194149232153646,0.4912905675460663,0.10378356051218504,-0.021172746284489397,0.9252314994352248,0.5911641466570714,0.06875671210243701,-0.013671920883682853,5,2690
detrend_fullspan50_only,7.62939453125e-06,1.537964105606079,1.611969232559204,1.6094036102294922,0.5199438970990695,0.26368363437328957,1.8118624687194824,0.9999999999999998,1.8118624687194829,0.1173096663266592,15.445125073275634,0.00038826931020239573,0.8010346470086671,0.4496043551707065,0.1264353572903759,-0.004110269459055349,0.9080808259053711,0.5551432564335325,0.07922346137959521,0.002663560164930412,5,2690
