file_name,frames,values,source_min_length,predicted_bypass,output_exactly_equal_to_input,max_absolute_change,mae,nmae,rmse,nrmse,pearson_r,nonfinite_input_count,nonfinite_output_count
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position5_activity0/20250813=205737_mimo5s_part0.csv,18,27648,28,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position5_activity0/20250813=205743_mimo5s_part0.csv,32,49152,28,False,False,2793.06756767385,687.4376512877088,0.7724992801501218,832.2073575098865,0.8276108919608937,0.41395639942134893,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position5_activity0/20250813=205749_mimo5s_part0.csv,22,33792,28,True,True,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position5_activity0/20250813=205755_mimo5s_part0.csv,25,38400,28,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position5_activity0/20250813=205801_mimo5s_part0.csv,18,27648,28,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position5_activity0/20250813=205807_mimo5s_part0.csv,18,27648,28,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position5_activity0/20250813=205813_mimo5s_part0.csv,22,33792,28,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position6_activity0/20250813=205834_mimo5s_part0.csv,13,19968,28,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position6_activity0/20250813=205841_mimo5s_part0.csv,22,33792,28,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position6_activity0/20250813=205847_mimo5s_part0.csv,54,82944,28,False,False,2590.6839485024116,792.474227752037,0.8666906834958594,964.2042032333807,0.9624880154257672,0.04697877208471901,0,0
/home/test/bupt_hjk/sdp_dataset/elderAL/action0_static_new/user0_position6_activity0/20250813=205853_mimo5s_part0.csv,50,76800,28,False,False,2254.6841480112244,755.517368977457,0.8241712508622543,843.6298722096537,0.8340003484046982,0.3658280997364728,0,0
