variant,amplitude_max_abs_error,adjacent_phase_jump_early_mean_rad,adjacent_phase_jump_late_mean_rad,late_relative_rotation_mean_rad,late_relative_rotation_gt_pi_over_2,late_relative_rotation_gt_3pi_over_4,phase_channel_std,zscore_amplitude_channel_std,zscore_phase_to_amplitude_std_ratio,minmax_amplitude_channel_std,minmax_phase_to_amplitude_std_ratio,minmax_exact_zero_fraction,linear_cancellation_ratio_mean,linear_cancellation_ratio_p10,linear_cancellation_ratio_lt_0_5,linear_late_minus_early_ratio,cubic_cancellation_ratio_mean,cubic_cancellation_ratio_p10,cubic_cancellation_ratio_lt_0_5,cubic_late_minus_early_ratio,sample_index,length
common_only,0.0,0.7938629984855652,0.7956280708312988,0.0,0.0,0.0,1.8290940523147583,1.0000000000000007,1.8290940523147572,0.17341413027153638,10.547549092168643,0.0006962962962962963,0.9539222736632769,0.9273457884422973,0.0,-0.00029169632506143017,0.9961535274034103,0.9762672291597853,0.0,-0.0001214772762075933,6,1500
detrend_first50_only,7.62939453125e-06,1.2174063920974731,1.6095941066741943,1.4936074018478394,0.46050574712643677,0.23469731800766283,1.807945728302002,1.0,1.807945728302002,0.17341413681278692,10.425595983871892,0.0007111111111111111,0.8329752094921206,0.5328873869345679,0.08822222222222222,-0.07484674727472262,0.9308248570808851,0.6457198098278212,0.04345185185185185,-0.04552939105844067,6,1500
detrend_fullspan50_only,7.62939453125e-06,1.5004578828811646,1.554460048675537,1.529523491859436,0.4801532567049808,0.23993869731800765,1.8140379190444946,1.0,1.8140379190444946,0.1734141402173757,10.460726655684404,0.000725925925925926,0.8124518169368282,0.46163861752778157,0.11558518518518518,-0.034331422027199854,0.9176163936439449,0.5884430695452783,0.06783703703703704,-0.042404653923795554,6,1500
robust_shared_first50,7.62939453125e-06,0.7938629984855652,0.7956280708312988,3.3816156985722046e-08,0.0,0.0,1.8150657415390015,1.0,1.8150657415390015,0.1734141373195697,10.4666538126253,0.0006962962962962963,0.9539222736495756,0.9273457726682913,0.0,-0.0002916960236414301,0.9961535272968562,0.976267160241277,0.0,-0.00012147685406482811,6,1500
robust_window_limited,7.62939453125e-06,1.0955930948257446,1.090574026107788,1.0083271265029907,0.26436781609195403,0.16091954022988506,1.8187553882598877,1.0,1.8187553882598877,0.1734141314750299,10.487930670873684,0.0007111111111111111,0.8745520604877567,0.5874297242699372,0.07112592592592593,0.0007240277376705517,0.9424203075275182,0.6180211763747705,0.0430962962962963,0.0014588168453355532,6,1500
robust_fullspan50,7.62939453125e-06,1.5195561647415161,1.537746548652649,1.509221076965332,0.469455938697318,0.22875095785440613,1.8230818510055542,0.9999999999999999,1.8230818510055544,0.17341414240618735,10.512878740508693,0.0007111111111111111,0.8021944164063758,0.44632925619326286,0.12465185185185185,-0.02294859761599799,0.9050297966584978,0.5584002562322125,0.07826666666666666,-0.02792233959387691,6,1500
robust_first50,7.62939453125e-06,1.2330402135849,1.5327353477478027,1.524259090423584,0.4823908045977012,0.2173486590038314,1.8166182041168213,1.0,1.8166182041168213,0.17341413934035427,10.475606032051424,0.0007111111111111111,0.8421249285834137,0.5326087734889323,0.0885925925925926,-0.053512977869812794,0.9455124388241823,0.6520116702787403,0.0434962962962963,-0.024271887219139088,6,1500
no_calibration,3.814697265625e-06,0.8038365840911865,0.8018501400947571,0.0001970208395505324,0.0,0.0,1.8132641315460205,1.0000000000000004,1.8132641315460196,0.1741138404231274,10.414244652461104,0.0008531863227669488,0.9531120077479355,0.9263407893526235,0.0,0.0001732771299688407,0.9961160892612759,0.9760161029894762,0.0,0.00010708099721057351,7,1693
linear_reference,7.62939453125e-06,0.10996561497449875,0.1087920069694519,0.7705548405647278,0.0,0.0,0.3115196228027344,1.0,0.3115196228027344,0.17411383885691348,1.789172100551644,0.0006825490582135591,0.9994895978291842,0.9984898245939001,0.0,9.656094938415016e-06,1.0011028579915502,0.9995009977392056,0.0,-3.953323496208583e-05,7,1693
common_only,0.0,0.8038358092308044,0.8018764853477478,0.0,0.0,0.0,1.7969834804534912,0.9999999999999999,1.7969834804534914,0.17411384150662612,10.320738804588977,0.0007088009450679268,0.9531092382753412,0.9263432413031284,0.0,0.00016727370494140636,0.9961149961568376,0.9760167206884748,0.0,0.00010360373265128064,7,1693
detrend_first50_only,7.62939453125e-06,1.2597415447235107,1.5957223176956177,1.5249849557876587,0.49569305181924406,0.22950463302627647,1.8127830028533936,1.0000000000000002,1.812783002853393,0.17411383434685168,10.411481716278521,0.0006825490582135591,0.8116443396904972,0.4432638602410255,0.12472271444510075,-0.07068725763862482,0.905598620327157,0.5456422915501916,0.08378289689571437,-0.052721469211837735,7,1693
